sample_accession,A0A075B6H9,A0A075B6I0,A0A075B6I9,A0A075B6K4,A0A0B4J1U7,A0A0B4J1V0,A0A0B4J1V2,A0A0C4DH27,A0A0U1RRE5,A0A0U1RRL7,A0A1B0GTU1,A0A3B3IS91,A0AV96,A0AVF1,A0AVT1,A0FGR8,A0M8Q6,A0MZ66,A0PJW8,A1A5D9,A1KZ92,A1L020,A1L0T0,A1L170,A1L390,A1X283,A1Z1Q3,A2A288,A2A2Y4,A2PYH4,A2RRP1,A2RTX5,A2RTY3,A2RU67,A2RUC4,A2RUS2,A2VDF0,A2VDJ0,A3KMH1,A3KN83,A4D0S4,A4D161,A4D1E9,A4D1P6,A4D1S0,A4D1S5,A4D2P6,A4FU49,A5D8V6,A5YKK6,A6NC98,A6NCS6,A6ND36,A6NDB9,A6NDG6,A6NDU8,A6NE01,A6NE02,A6NED2,A6NEL2,A6NFI3,A6NGN9,A6NHL2,A6NHQ2,A6NHR9,A6NHT5,A6NI56,A6NIH7,A6NJ78,A6NK58,A6NKC9,A6NKD9,A6NKF1,A6NKG5,A6NNB3,A6QL63,A6ZKI3,A7KAX9,A7MBM2,A8K2U0,A8K7I4,A8MT69,A8MTJ3,A8MVW0,A8MW92,A8MWV9,A8MXV4,A8MYA2,A8MYZ6,B0I1T2,B0YJ81,B1AK53,B1ANS9,B2RUZ4,B7Z8K6,B7ZAP0,C9J069,C9JI98,C9JLW8,CONTAMINANT_A2A4G1
PXD030304-Sample-1,,,,,,,6.212937520594237,,6.207102556474478,5.872900750625806,,,5.203586816759784,,6.04375515232822,6.026806760658032,,,5.6356480601247565,,,5.614737875123708,5.9351496705703655,,,5.921938396391928,,5.285135655982611,,4.824960379118513,4.4359008796939445,4.88824232315094,5.0089223792318665,5.106528558934784,5.691024497098212,4.7070328233730105,,4.942574105588154,5.819600562901679,5.276627764850613,4.559579791963655,5.361651678689837,5.700992714486275,5.503861031807648,5.246489912377603,,4.781460735600279,5.347941912405441,6.149155003087468,5.851010842748151,,,,,6.027221778535199,,4.876272760611852,,,5.303407531296336,4.897509968235359,,5.169112426972214,5.269996343085373,6.163759954333705,,5.333385933289654,6.232992852882728,,,,,5.2233254776593,,,,,4.526214148350988,,,4.856155587382955,5.934514002067276,,,5.071398021938665,,5.275186947521514,,,5.998348484211773,,5.056244251165802,4.7451794453204,,,5.610963004777854,5.459537139763252,,6.430382713741982,
PXD030304-Sample-10,,,,,,,,,5.895477161399127,5.8987530068021785,4.86371723779509,,6.034269108714214,4.9301236398835,6.073308407428938,6.154578206679894,,6.306289530203456,,,,5.243326812338637,6.261442187153143,,5.120244609221147,4.835602374955988,,,,4.850348402255036,4.922585916284263,,,,5.221632935241473,,,,5.981702304808452,4.68131248066611,,,5.805831258071717,5.68306670009952,,,,5.310438948817344,5.98649667661187,5.6541569904262925,,,4.873540569368476,5.02690020847039,5.854041499687651,,4.898773226508624,5.19940344890211,,5.278431970438615,4.906162248163112,,5.163073609278487,5.286301236287275,5.472095860766029,,5.511993209379176,5.934533593504127,5.731234435396992,,,,,,,,5.593699872774433,4.530874288714648,,,,,,,,,6.087459540936096,,,5.252913537894992,,,5.065442812084669,,,5.2977594009024775,5.2725567243202605,,6.440524946305311,
PXD030304-Sample-100,,,,,,,,,5.998302351328025,5.893672196641827,4.885940978835556,,,,6.068643380259157,5.914354832031733,,,,,,,5.896205314467526,,4.814532379335473,4.958616196412406,,,,4.54120666305754,4.454720743306708,,,,5.253849347558064,,,,5.322246693273161,5.000395952523147,,,5.582505047217039,4.904626094923144,,,,5.335301703932629,5.654002513555877,5.723453398013198,4.894940272344464,,,,6.271187930280266,,4.91273082180043,,,5.311618720385683,5.223672146262106,,5.201072257632203,,6.112982311284137,,5.127388653713388,6.246880433227628,,,,5.263818353057162,,,,4.813379127964585,,4.543329650190497,,,,5.970052987444725,,,,,,5.08843716402895,,6.483315177266567,,,4.794839131069031,,,5.325862625395712,,,6.470286778769438,
PXD030304-Sample-101,,,,,,,,,,6.3035877866768,4.972170156863934,,6.245744277682299,5.047514425343288,5.548006714871346,6.400144245310168,,5.861735622786784,,,,5.31920335578305,6.504990633543384,,5.531678921472337,5.03118206816375,,,5.277104334935014,,5.511316755192485,,,,5.321182577841784,,,,5.718175964858436,,4.672410660780021,,5.821804907624303,,,,,,5.834201359591829,5.128709829550552,,,,5.114980093403778,5.351469271486099,,5.008811438416076,,,5.12187809507232,,,,5.389441643846322,5.277556670146032,,5.444831413682723,,5.541150763339912,,,,,4.805401147725711,,,5.693585987248836,4.67232725792662,,,,5.746528133212262,,,4.889711157846138,,5.89096280471953,,,,,,,,,5.42955996801705,,6.1991918935848975,6.059514522510181,5.484016613949622
PXD030304-Sample-102,,,,,,,,,6.168463858946529,6.247128987950599,4.929960527335905,,,,5.921761316675005,5.688816862341439,,,,,4.644215379808998,,6.325837855215079,,,6.195799150923624,,,5.169697899769158,,5.290611501524469,,,,5.33687126288001,,,,5.017489614870541,,,,5.463959259248519,5.44257333387695,5.327118995765246,,,5.389775659610758,5.692981629072155,5.5315498920437065,,,4.92929000326739,,5.803861864709505,,4.962581666662274,,,5.023036261058769,5.275615042448433,,5.2415585247641845,5.328524000801416,5.628738195323445,,5.423121721415585,5.521410587376054,5.18740977623987,,,,5.291903004649251,,,,5.652054521532263,4.6101916806856735,,,4.932313234422783,,,,,,5.842667714538228,5.162866035366807,,,,,,,,5.355167736819859,,5.851771071218995,6.5227282418573616,
PXD030304-Sample-103,,,,,,,,,6.350147704024135,,,,6.122729236755457,,5.957086467795296,6.46781699166592,,6.1262657969891485,,,,,6.3527123414640485,,,5.028166314770218,,5.154129166900982,,,5.147204908796498,,,,5.602059482364136,,,,5.521743270817402,,4.656042123683753,,5.974334953766614,5.473663565707147,5.830623542599576,,,5.102272012917954,6.079761204292352,5.522477982499503,,,4.96931952601151,,5.648667668017247,,4.693298690324046,5.270895494148501,5.298317317561643,5.051971047955036,5.297772649175668,,,5.372202425576075,5.778783510284031,5.347360063225301,5.569247186218224,,,,,,,,,,5.679441508755549,4.927690089871066,,,,6.051261308612274,,,4.873019451866353,,6.305651559433452,,,4.851377830415711,,,,,,5.39957697148151,4.885680176960032,5.908296073316686,6.222908657157012,5.46498015414079
PXD030304-Sample-104,,,,,,,,,,5.887726181107683,,5.534097815190324,,,6.097546567087595,5.969018390049466,,6.301742836195881,,,,5.759326758675488,6.014982046969774,,5.127924579163248,6.126208720927343,,,,5.030285937056186,5.411134219729026,4.897544678103792,5.002408435776762,,5.213339028756953,4.728196149147949,5.948512778499778,,5.472941984791915,4.9917163663152735,,,5.805379394578382,4.903006991757791,5.258594665795532,,,4.999232725994881,5.927040754152586,5.806358618164232,,6.0071994418438255,,,6.0387022802424895,5.258013584556576,4.903847723266585,,,4.976947933102394,4.90711508818216,,5.19966603524717,5.34765968709859,6.156974177301864,,5.391567214741766,6.159209515945298,5.124995374172086,,5.9980280720431445,,,,,,5.590754689314343,4.597359028943147,,,,5.951582466147657,,5.344133298513571,5.091159383265617,,5.775501926600455,,,,,,5.089279154889772,,,5.31395664076031,,,6.142143358541199,
PXD030304-Sample-105,,,,,,,,,6.0441474024262085,,,,,,5.6842519631084,5.65192048833454,,5.241933862308908,,,,6.104540966733866,6.184695706645448,,,5.871061225296379,5.289848079522328,,,4.563594228471716,,,5.041844526352136,5.143815729802185,,4.720469850357947,,,5.448450443371803,5.027766362674199,,,5.144065409661407,5.647229702295908,,,,5.039670501989398,5.676534136867876,5.867985563264196,,,,,6.148622840616087,,4.972092628763694,,5.552560626213545,5.304525945351225,,5.405493763553698,5.239635022474245,5.984634400697541,6.1490612087137855,5.369230227147917,5.581537315764007,5.510082022735712,,,,,5.268885607617939,4.721086554948834,,,5.619509202236528,4.577921399357389,,,,5.681906438553502,,5.679344143088237,5.136567555759921,,5.314776686040384,,,4.793798928959371,,,,,,5.338316481514451,5.602794310069117,,6.562547000899729,
PXD030304-Sample-106,,,,,,,,,5.99106507666847,,,,,,6.000562094206169,5.4514721311455245,,5.488330033071396,,,,6.118745594617035,6.393801193779145,,,6.071002595285011,,,,,4.86419112867828,,,,5.347234211304334,,,,5.903154008318245,4.78969138548936,4.680865314098988,,5.9169388713228415,,,5.479580954681185,,5.104718710296339,6.011011753143785,5.676759810464347,,5.511871489139056,5.054329220312398,,6.14343841283878,,4.976574854154968,,,5.08100858284548,,,5.329492357935711,5.442924958250212,5.910679821081985,5.370163493582643,5.337579962829651,6.050717308472493,,,,,,,,,5.696586802911228,4.626407654862161,,,4.976427499505272,6.053883130922379,5.346484758308789,5.636757593270786,,,,,,4.867031721935475,,,4.867686167651676,,,5.396360644919619,4.948838400922614,,6.564688091748872,
PXD030304-Sample-107,,,,,,,,,,5.998449516389064,,,,,6.135108481094445,6.3599703815816255,,,,,,5.290146267612375,6.534735262598049,,,5.551688291470001,,,,4.645775272639886,5.770963744120562,,,,5.345971078168309,,,4.752446244909293,5.7241545387264665,,,5.492429647563137,,5.021127760964842,5.396893330542813,,,5.114127719987473,5.739513851834943,5.734451567782102,,,,,,,4.716592949462653,5.30296381758401,,5.067748049633803,,,5.29313628783604,5.39118698583295,5.661984761767352,,5.361895015718285,,,,,,,,,,5.70417657135572,4.657138761934251,,,,6.067759752027492,,,4.902771780664754,,6.114866046092381,5.210783748922247,,,,,,6.113964344655032,,5.414565597282881,4.9736426877279785,,6.371553306305369,
