sample_accession,A0A075B6H9,A0A075B6I0,A0A075B6I9,A0A0U1RRE5,A0A0U1RRL7,A0A0B4J1V2,condition
PXD030304-Sample-1,5.212937520594237,,6.212937520594237,6.207102556474478,5.872900750625806,7.872900750625806,brain
PXD030304-Sample-10,,6.195477161399127,,5.895477161399127,5.8987530068021785,4.8987530068021785,brain
PXD030304-Sample-100,,5.795477163499127,6.298304351328025,5.998302351328025,5.893672196641827,5.998302351328345,brain
PXD030304-Sample-101,,,6.412935620594237,,6.3035877866768,5.3035657866768,brain
PXD030304-Sample-102,,,,6.168463858946529,6.247128987950599,5.168463238946529,brain
PXD030304-Sample-103,,,,,6.350147704024135,6.168763858946529,brain
PXD030304-Sample-104,,,,,5.887726181107683,5.887376181107683,brain
PXD030304-Sample-105,,,,,6.0441474024262085,,brain
PXD030304-Sample-106,5.762937520595637,,,,5.99106507666847,,brain
PXD030304-Sample-107,,,,,5.998449516389064,5.998449547389064,brain
